,bioguide,name,party,state,doc_count
370,W000802,"Sen. Whitehouse, Sheldon [D-RI]",D,RI,6
356,D000563,"Sen. Durbin, Richard J. [D-IL]",D,IL,6
341,H001072,"Rep. Hill, J. French [R-AR-2]",R,AR,6
228,C001117,"Rep. Casten, Sean [D-IL-6]",D,IL,6
229,T000486,"Rep. Torres, Ritchie [D-NY-15]",D,NY,6
295,H001094,"Rep. Hoyle, Val T. [D-OR-4]",D,OR,6
252,G000386,"Sen. Grassley, Chuck [R-IA]",R,IA,6
440,R000584,"Sen. Risch, James E. [R-ID]",R,ID,6
352,V000134,"Rep. Van Duyne, Beth [R-TX-24]",R,TX,6
353,M001136,"Rep. McClain, Lisa C. [R-MI-9]",R,MI,6
325,C001039,"Rep. Cammack, Kat [R-FL-3]",R,FL,6
260,E000235,"Rep. Ezell, Mike [R-MS-4]",R,MS,6
100,G000585,"Rep. Gomez, Jimmy [D-CA-34]",D,CA,6
196,T000165,"Rep. Tiffany, Thomas P. [R-WI-7]",R,WI,6
132,M001137,"Rep. Meeks, Gregory W. [D-NY-5]",D,NY,6
103,S001217,"Sen. Scott, Rick [R-FL]",R,FL,6
175,D000623,"Rep. DeSaulnier, Mark [D-CA-10]",D,CA,6
97,W000187,"Rep. Waters, Maxine [D-CA-43]",D,CA,6
491,M001216,"Rep. Mills, Cory [R-FL-7]",R,FL,6
179,G000593,"Rep. Gimenez, Carlos A. [R-FL-28]",R,FL,6
79,J000032,"Rep. Jackson Lee, Sheila [D-TX-18]",D,TX,6
64,B000740,"Rep. Bice, Stephanie I. [R-OK-5]",R,OK,6
53,G000359,"Sen. Graham, Lindsey [R-SC]",R,SC,6
47,F000469,"Rep. Fulcher, Russ [R-ID-1]",R,ID,6
44,O000173,"Rep. Omar, Ilhan [D-MN-5]",D,MN,6
42,F000463,"Sen. Fischer, Deb [R-NE]",R,NE,6
41,K000381,"Rep. Kilmer, Derek [D-WA-6]",D,WA,6
503,C001119,"Rep. Craig, Angie [D-MN-2]",D,MN,6
35,D000615,"Rep. Duncan, Jeff [R-SC-3]",R,SC,6
39,C001096,"Sen. Cramer, Kevin [R-ND]",R,ND,6
38,M001143,"Rep. McCollum, Betty [D-MN-4]",D,MN,6
517,S000522,"Rep. Smith, Christopher H. [R-NJ-4]",R,NJ,6
8,C001067,"Rep. Clarke, Yvette D. [D-NY-9]",D,NY,6
119,M000687,"Rep. Mfume, Kweisi [D-MD-7]",D,MD,5
92,M001226,"Rep. Menendez, Robert [D-NJ-8]",D,NJ,5
93,S001193,"Rep. Swalwell, Eric [D-CA-14]",D,CA,5
378,B001309,"Rep. Burchett, Tim [R-TN-2]",R,TN,5
380,H001047,"Rep. Himes, James A. [D-CT-4]",D,CT,5
433,A000148,"Rep. Auchincloss, Jake [D-MA-4]",D,MA,5
40,F000468,"Rep. Fletcher, Lizzie [D-TX-7]",D,TX,5
294,P000597,"Rep. Pingree, Chellie [D-ME-1]",D,ME,5
495,B001314,"Rep. Bean, Aaron [R-FL-4]",R,FL,5
291,C001080,"Rep. Chu, Judy [D-CA-28]",D,CA,5
288,S000033,"Sen. Sanders, Bernard [I-VT]",I,VT,5
124,M001195,"Rep. Mooney, Alexander X. [R-WV-2]",R,WV,5
485,M001160,"Rep. Moore, Gwen [D-WI-4]",D,WI,5
127,M000317,"Rep. Malliotakis, Nicole [R-NY-11]",R,NY,5
4,P000619,"Rep. Peltola, Mary Sattler [D-AK-At Large]",D,AK,5
83,R000610,"Rep. Reschenthaler, Guy [R-PA-14]",R,PA,5
411,S001198,"Sen. Sullivan, Dan [R-AK]",R,AK,5
22,C001088,"Sen. Coons, Christopher A. [D-DE]",D,DE,5
140,E000071,"Rep. Ellzey, Jake [R-TX-6]",R,TX,5
354,H001079,"Sen. Hyde-Smith, Cindy [R-MS]",R,MS,5
348,C001133,"Rep. Ciscomani, Juan [R-AZ-6]",R,AZ,5
506,A000375,"Rep. Arrington, Jodey C. [R-TX-19]",R,TX,5
52,S001227,"Sen. Schmitt, Eric [R-MO]",R,MO,5
344,B001315,"Rep. Budzinski, Nikki [D-IL-13]",D,IL,5
343,B001320,"Sen. Butler, Laphonza R. [D-CA]",D,CA,5
61,M001199,"Rep. Mast, Brian J. [R-FL-21]",R,FL,5
358,A000380,"Rep. Amo, Gabe [D-RI-1]",D,RI,5
338,A000372,"Rep. Allen, Rick W. [R-GA-12]",R,GA,5
334,M001214,"Rep. Mrvan, Frank J. [D-IN-1]",D,IN,5
31,N000002,"Rep. Nadler, Jerrold [D-NY-12]",D,NY,5
68,L000491,"Rep. Lucas, Frank D. [R-OK-3]",R,OK,5
75,K000397,"Rep. Kim, Young [R-CA-40]",R,CA,5
78,D000632,"Rep. D'Esposito, Anthony [R-NY-4]",R,NY,5
133,K000393,"Sen. Kennedy, John [R-LA]",R,LA,5
213,C001131,"Rep. Casar, Greg [D-TX-35]",D,TX,5
459,B001267,"Sen. Bennet, Michael F. [D-CO]",D,CO,5
254,S001220,"Rep. Strong, Dale W. [R-AL-5]",R,AL,5
236,L000590,"Rep. Lee, Susie [D-NV-3]",D,NV,5
243,K000384,"Sen. Kaine, Tim [D-VA]",D,VA,5
189,F000478,"Rep. Fry, Russell [R-SC-7]",R,SC,5
245,B001285,"Rep. Brownley, Julia [D-CA-26]",D,CA,5
239,V000129,"Rep. Valadao, David G. [R-CA-22]",R,CA,5
477,L000600,"Rep. Langworthy, Nicholas A. [R-NY-23]",R,NY,5
471,M001208,"Rep. McBath, Lucy [D-GA-6]",D,GA,5
253,F000475,"Rep. Finstad, Brad [R-MN-1]",R,MN,5
467,C001087,"Rep. Crawford, Eric A. ""Rick"" [R-AR-1]",R,AR,5
147,B001301,"Rep. Bergman, Jack [R-MI-1]",R,MI,5
221,G000579,"Rep. Gallagher, Mike [R-WI-8]",R,WI,5
470,C001055,"Rep. Case, Ed [D-HI-1]",D,HI,4
347,P000607,"Rep. Pocan, Mark [D-WI-2]",D,WI,4
191,H001086,"Rep. Harshbarger, Diana [R-TN-1]",R,TN,4
238,G000589,"Rep. Gooden, Lance [R-TX-5]",R,TX,4
481,N000188,"Rep. Norcross, Donald [D-NJ-1]",D,NJ,4
452,E000299,"Rep. Escobar, Veronica [D-TX-16]",D,TX,4
337,V000138,"Rep. Vindman, Eugene Simon [D-VA-7]",D,VA,4
231,G000577,"Rep. Graves, Garret [R-LA-6]",R,LA,4
331,V000130,"Rep. Vargas, Juan [D-CA-52]",D,CA,4
247,C001061,"Rep. Cleaver, Emanuel [D-MO-5]",D,MO,4
178,B001261,"Sen. Barrasso, John [R-WY]",R,WY,4
322,B000944,"Sen. Brown, Sherrod [D-OH]",D,OH,4
45,Q000023,"Rep. Quigley, Mike [D-IL-5]",D,IL,4
361,S001196,"Rep. Stefanik, Elise M. [R-NY-21]",R,NY,4
197,S001205,"Rep. Scanlon, Mary Gay [D-PA-5]",D,PA,4
177,C001121,"Rep. Crow, Jason [D-CO-6]",D,CO,4
399,N000026,"Rep. Nehls, Troy E. [R-TX-22]",R,TX,4
463,D000622,"Sen. Duckworth, Tammy [D-IL]",D,IL,4
